meeting_date,asof_date,exp_rate_bp,rate_uncertainty,days_to_meeting,actual_rate_bp,forecast_error_bp,error_direction
2025-12-10,2025-03-20,368.87503137503137,28.44097747085339,265,362.5,6.375031375031369,Overestimate
2025-12-10,2025-03-21,366.37500000000006,28.157137194679436,264,362.5,3.875000000000057,Overestimate
2025-12-10,2025-03-24,375.87492499999996,28.312311919805754,261,362.5,13.374924999999962,Overestimate
2025-12-10,2025-03-25,372.87496462503543,28.600805205156643,260,362.5,10.374964625035432,Overestimate
2025-12-10,2025-03-26,374.87496237496237,28.2742817555631,259,362.5,12.374962374962365,Overestimate
2025-12-10,2025-03-27,373.92858857141147,28.475387123006698,258,362.5,11.428588571411467,Overestimate
2025-12-10,2025-03-28,363.428525,28.606943498465107,257,362.5,0.9285249999999792,Overestimate
2025-12-10,2025-03-31,363.4285,28.24675446400878,254,362.5,0.9284999999999854,Overestimate
2025-12-10,2025-04-01,359.23212173212175,28.487693287699273,253,362.5,-3.2678782678782454,Underestimate
2025-12-10,2025-04-02,363.98212499999994,28.25732525354045,252,362.5,1.4821249999999395,Overestimate
2025-12-10,2025-04-03,346.99997499999995,27.476851166015642,251,362.5,-15.50002500000005,Underestimate
2025-12-10,2025-04-04,338.24999999999994,25.698176005312124,250,362.5,-24.250000000000057,Underestimate
2025-12-10,2025-04-07,341.53572096427905,26.135113008504536,247,362.5,-20.96427903572095,Underestimate
2025-12-10,2025-04-08,337.9821254821255,26.96933735925093,246,362.5,-24.517874517874475,Underestimate
2025-12-10,2025-04-09,362.62500000000006,28.84977252943254,245,362.5,0.12500000000005684,Overestimate
2025-12-10,2025-04-10,350.67853682146324,27.790357523204612,244,362.5,-11.82146317853676,Underestimate
2025-12-10,2025-04-11,359.42855000000003,28.48749629043416,243,362.5,-3.0714499999999703,Underestimate
2025-12-10,2025-04-14,349.589312089312,27.882713404623768,240,362.5,-12.910687910688011,Underestimate
2025-12-10,2025-04-15,350.8392883392884,27.987340402924364,239,362.5,-11.660711660711627,Underestimate
2025-12-10,2025-04-16,347.44649005350993,26.94835821471788,238,362.5,-15.053509946490067,Underestimate
2025-12-10,2025-04-17,349.80353730353727,26.565945342617642,237,362.5,-12.696462696462731,Underestimate
2025-12-10,2025-04-21,341.3572461427539,25.307997684943704,233,362.5,-21.142753857246078,Underestimate
2025-12-10,2025-04-22,349.30353680353676,26.213793514369563,232,362.5,-13.196463196463242,Underestimate
2025-12-10,2025-04-23,356.80359430359437,27.188816337287076,231,362.5,-5.696405696405634,Underestimate
2025-12-10,2025-04-24,350.8571000000001,26.64341625223763,230,362.5,-11.642899999999884,Underestimate
2025-12-10,2025-04-25,348.85715,26.51763835407482,229,362.5,-13.64285000000001,Underestimate
2025-12-10,2025-04-28,344.017825,25.076031031033903,226,362.5,-18.482174999999984,Underestimate
2025-12-10,2025-04-29,340.07147242852756,24.36308794830404,225,362.5,-22.428527571472443,Underestimate
2025-12-10,2025-04-30,335.57142307142306,22.123668529578882,224,362.5,-26.928576928576945,Underestimate
2025-12-10,2025-05-01,346.01784148215853,25.08661345405197,223,362.5,-16.48215851784147,Underestimate
2025-12-10,2025-05-02,359.4106719106719,25.991967260728813,222,362.5,-3.0893280893280917,Underestimate
2025-12-10,2025-05-05,362.46432496432493,25.77690374621958,219,362.5,-0.035675035675069466,Underestimate
2025-12-10,2025-05-06,356.517825,24.986630570554627,218,362.5,-5.982174999999984,Underestimate
2025-12-10,2025-05-07,359.62497500000006,24.441969156542505,217,362.5,-2.875024999999937,Underestimate
2025-12-10,2025-05-08,370.73095,25.60788866926557,216,362.5,8.230950000000007,Overestimate
2025-12-10,2025-05-09,370.7421082421083,25.70857601246324,215,362.5,8.242108242108316,Overestimate
2025-12-10,2025-05-12,381.981375,25.030139893923387,212,362.5,19.481375000000014,Overestimate
2025-12-10,2025-05-13,385.51272499999993,25.115585063350107,211,362.5,23.012724999999932,Overestimate
2025-12-10,2025-05-14,389.45912500000003,25.339641951582013,210,362.5,26.95912500000003,Overestimate
2025-12-10,2025-05-15,383.6309,25.146919596443617,209,362.5,21.130899999999997,Overestimate
2025-12-10,2025-05-16,386.6086991086991,25.047728657590778,208,362.5,24.108699108699113,Overestimate
2025-12-10,2025-05-19,384.597625,24.714026267675912,205,362.5,22.097624999999994,Overestimate
2025-12-10,2025-05-20,384.4846,24.238834807803777,204,362.5,21.9846,Overestimate
2025-12-10,2025-05-21,387.419875,24.350291681710406,203,362.5,24.91987499999999,Overestimate
2025-12-10,2025-05-22,387.9198500000001,24.289940839316593,202,362.5,25.41985000000011,Overestimate
2025-12-10,2025-05-23,389.4623019623019,24.22127084876713,201,362.5,26.96230196230192,Overestimate
2025-12-10,2025-05-27,388.75312499999995,23.874757647657386,197,362.5,26.253124999999955,Overestimate
2025-12-10,2025-05-28,392.24202500000007,23.89934777142203,196,362.5,29.74202500000007,Overestimate
2025-12-10,2025-05-29,387.29560000000004,23.691522125857595,195,362.5,24.795600000000036,Overestimate
2025-12-10,2025-05-30,383.836475,23.755245937989677,194,362.5,21.336475000000007,Overestimate
2025-12-10,2025-06-02,387.2532247532248,23.95060647812551,191,362.5,24.7532247532248,Overestimate
2025-12-10,2025-06-03,388.19962430037566,23.96947174664627,190,362.5,25.69962430037566,Overestimate
2025-12-10,2025-06-04,381.41229391229393,23.83881687372638,189,362.5,18.912293912293933,Overestimate
2025-12-10,2025-06-05,383.8698286301714,24.31407774259916,188,362.5,21.369828630171412,Overestimate
2025-12-10,2025-06-06,393.048,23.521951364629594,187,362.5,30.548000000000002,Overestimate
2025-12-10,2025-06-09,392.1016,23.519492499626775,184,362.5,29.60160000000002,Overestimate
2025-12-10,2025-06-10,393.090475,23.232110628919944,183,362.5,30.590475000000026,Overestimate
2025-12-10,2025-06-11,388.21977499999997,23.392975418902466,182,362.5,25.71977499999997,Overestimate
2025-12-10,2025-06-12,384.75315,23.520705029345955,181,362.5,22.253150000000005,Overestimate
2025-12-10,2025-06-13,388.0626999999999,23.751702438141145,180,362.5,25.562699999999893,Overestimate
2025-12-10,2025-06-16,391.090525,23.26048162064524,177,362.5,28.590525000000014,Overestimate
2025-12-10,2025-06-17,392.60159999999996,23.506938921093067,176,362.5,30.101599999999962,Overestimate
2025-12-10,2025-06-18,390.57937499999997,22.92249058478103,175,362.5,28.07937499999997,Overestimate
2025-12-10,2025-06-20,386.7404757595242,22.486873764304388,173,362.5,24.2404757595242,Overestimate
2025-12-10,2025-06-23,379.744075,22.009543439026057,170,362.5,17.24407500000001,Overestimate
2025-12-10,2025-06-24,377.814275,21.236904346546723,169,362.5,15.31427500000001,Overestimate
2025-12-10,2025-06-25,375.26431223568784,21.354357616505713,168,362.5,12.76431223568784,Overestimate
2025-12-10,2025-06-26,371.958325,19.571968812420867,167,362.5,9.458325000000002,Overestimate
2025-12-10,2025-06-27,373.4750250000001,19.810431627033648,166,362.5,10.975025000000073,Overestimate
2025-12-10,2025-06-30,371.01188351188347,19.188639991833483,163,362.5,8.511883511883468,Overestimate
2025-12-10,2025-07-01,373.35121414878586,20.08332655235023,162,362.5,10.851214148785857,Overestimate
2025-12-10,2025-07-02,373.076225,20.361921317728715,161,362.5,10.576225000000022,Overestimate
2025-12-10,2025-07-03,386.46785,21.337166315551368,160,362.5,23.96785,Overestimate
2025-12-10,2025-07-07,387.46785003215,21.500604738065615,156,362.5,24.96785003215001,Overestimate
2025-12-10,2025-07-08,388.4143240856759,21.600733067159904,155,362.5,25.9143240856759,Overestimate
2025-12-10,2025-07-09,385.52142697857295,21.127687367645247,154,362.5,23.021426978572947,Overestimate
2025-12-10,2025-07-10,384.7095527904472,21.110493858059133,153,362.5,22.20955279044722,Overestimate
2025-12-10,2025-07-11,389.11904838095165,21.45051210564332,152,362.5,26.619048380951654,Overestimate
2025-12-10,2025-07-14,388.467875,21.628079965276044,149,362.5,25.967874999999992,Overestimate
2025-12-10,2025-07-15,393.89405000000005,21.521962610261642,148,362.5,31.39405000000005,Overestimate
